name,area,cluster,type,capacity,starting_rate_php,price_public,rate_notes,website,facebook,sources
"Acuatico Beach Resort","Laiya, San Juan, Batangas","beach_destination","beach_resort",,,"false","No published rate found (searched 2026): resort offers venue-rental-only and with-accommodation wedding packages per TripAdvisor reviews and brideworthy listing, but all pricing is quote-on-inquiry.","https://www.acuaticoresort.com.ph",,"https://www.brideworthy.com/venues/acuatico-beach-resort/ https://www.tripadvisor.com/ShowUserReviews-g6620224-d1087789-r670876946-Acuatico_Beach_Resort-Laiya_San_Juan_Batangas_Province_Calabarzon_Region_Luzon.html"
"Amorita Resort","Panglao Island (Alona Beach cliff), Bohol","beach_destination","cliff_garden","200","189000","true","Spot.ph destination-wedding roundup (2019): packages from PHP 189,000 (ceremony + reception for 20 guests). An undated resort package sheet hosted by eventplannerphilippines.com lists PHP 372,750 for 100 guests (incl. 12% VAT, 1.5% municipal tax, 5% service charge; extra adult PHP 3,150), priced up to 200 guests, with 2-night pool villa stay for the couple.","https://www.amoritaresort.com",,"https://www.spot.ph/things-to-do/weekend-guides/77744/beach-destination-weddings-philippines-a3242-20190504-lfrm https://www.eventplannerphilippines.com/packages/AMORITA%20RESORT%20Wedding%20Packages.pdf"
"Balesin Island Club","Balesin Island, Polillo, Quezon","beach_destination","island_resort","250","2500000","true","~PHP 2.5M 'value package' for a 100-guest wedding announced Jan 2020 (Preview.ph / Alphaland), down from the previous ~PHP 6M 100-guest package; PEP.ph estimated a 250-guest, 3D2N wedding at ~PHP 7.35M incl. VAT and service charge. Members-only club; guests fly in (~PHP 8,960 round-trip pp).",,,"https://www.preview.ph/culture/balesin-island-weddings-package-a00268-20200108 https://alphaland.com.ph/getting-married-in-balesin-island-has-just-been-made-more-affordable/ https://www.pep.ph/lifestyle/celebrations/37324/luxurious-celebration-the-cost-of-a-balesin-wedding"
"Bluewater Maribago Beach Resort","Maribago, Mactan Island, Lapu-Lapu City, Cebu","beach_destination","beach_resort",,,"false","No published rate: official weddings page (accessed 2026) confirms customizable beach wedding packages but prices are quote-on-inquiry only; no reliable third-party figure found.","https://bluewatermaribago.com.ph",,"https://bluewatermaribago.com.ph/bw-events/weddings/"
"Club Punta Fuego","Nasugbu, Batangas","beach_destination","beach_resort","200",,"false","No public rate: venue quotes on inquiry/letter of intent (kasal.com and brideworthy listings, accessed 2026); package inclusions published (lights/sound, LED wall, styling, cake, sparkling wine) but no figures. A 2016-2018 package PDF exists on Scribd behind a login (not used). Ballroom seats up to 200; also Terrazas beach club, Upper/Lower Beach venues.","https://www.clubpuntafuego.com.ph",,"http://kasal.com/philippine-wedding/Beach-Weddings/Club-Punta-Fuego/L10130.html https://www.brideworthy.com/venues/club-punta-fuego/ https://www.clubpuntafuego.com.ph/events/"
"Crimson Resort and Spa Mactan","Mactan Island, Lapu-Lapu City, Cebu","beach_destination","beach_resort",,"136000","true","Official site (accessed 2026): intimate wedding packages 'start at only Php 136,000 net'. The Post PH feature (2025 promo) lists Kalma Garden package PHP 98,000 and Beachfront package PHP 178,000, each for 50 persons incl. 2-hr venue use, sound system, photobooth, florals, officiant, villa stay.","https://www.crimsonhotel.com/mactan",,"https://www.crimsonhotel.com/mactan/events-meetings/intimate-weddings-package https://thepost.ph/lifestyle/beach-wedding-venue-crimson-mactan-cebu/"
"Discovery Shores Boracay","Boracay Island (Station 1), Malay, Aklan","beach_destination","beach_resort",,,"true","No PHP figure published by the resort; My Overseas Wedding aggregator (accessed 2026) lists a basic wedding package at USD 9,900 for 30 guests. PHP rate left null since only a USD aggregator figure exists.","https://www.discoveryshoresboracay.com",,"https://www.myoverseaswedding.com/wedding-destinations/philippines/discovery-shores-boracay https://www.discoveryshoresboracay.com/meetings-events/boracay-beach-wedding"
"El Nido Resorts (Lagen Island)","El Nido, Palawan","beach_destination","island_resort",,"350000","true","PalawanWedding.com planner directory (undated, blog active ~2019-2021): El Nido Resorts weddings 'start from 350k php for 30 guests'; rooms from PHP 25,000/night and all wedding guests must stay minimum 2 nights on the private islands. Third-party planner figure - resort itself publishes no rates.","https://www.elnidoresorts.com",,"https://palawanwedding.com/wedding-venues-and-resorts https://palawanwedding.com/palawan-wedding-planner-blog/2019/6/28/weddings-in-el-nido"
"Kahuna Beach Resort and Spa","San Juan, La Union","beach_destination","beach_resort","100",,"false","No base package rate published: official wedding page (accessed 2026) lists 10/50/100-pax package tiers with full inclusions (ceremony styling, buffet reception, cake, honeymoon suite, coordination) and only add-on prices (e.g., hors d'oeuvres PHP 10,000/50 pax, corkage PHP 1,500/bottle); base rates quote-on-inquiry.","https://kahunaresort.com",,"https://kahunaresort.com/wedding/ https://www.beta.kahunaresort.com/san-juan-la-union/kahuna-destination-wedding-package/"
"Movenpick Resort and Spa Boracay","Boracay Island (Punta Bunga), Malay, Aklan","beach_destination","beach_resort",,,"true","No PHP figure published; Boracay Compass roundup (undated, ~2019-2021) lists the beach wedding package at ~USD 10,600 for the first 50 guests (~USD 150/extra pax) incl. ceremony, cocktails, reception, spa treatment, bridal buggy, cake - blog's USD approximation, so PHP left null.",,,"https://boracaycompass.com/beach-wedding-packages/"
